6348,9791,6597,9284,8627,4570,8188,9193,1362,7555,3318,5150,3810,7276,4627,5645,6008,9765,2068,3707
2237,6654,7435,1430,8195,2532,4850,9077,6403,9401,1572,2122,8947,8524,5800,5566,4156,6482,8205,5874
5226,3352,4735,2542,6733,2327,1182,6784,8941,8330,4255,1226,8658,5430,2460,9192,9617,4966,2999,8532
1130,1307,9229,6184,9182,8892,9957,8200,8815,4576,5039,2329,1375,6293,5281,8066,1898,9971,8685,4589
1600,2115,6878,7042,2234,7797,9145,6625,1678,9019,1513,9593,6894,9488,5242,6026,1426,9107,3199,4219
7582,7710,7696,9905,4414,6766,9747,4430,9877,9118,6770,9161,4253,3700,9197,5471,2769,3496,2222,4933
5583,4077,1107,5281,1561,3293,3353,1293,6834,4821,3371,3406,6718,2026,3322,2023,9570,2270,5510,7341
1538,1387,2075,1015,1745,7243,3639,3973,1675,1570,6311,7017,1727,3792,2394,6534,6408,5487,7413,5635
7234,6613,9205,8116,5354,2134,9619,1078,3479,1762,1953,7005,7596,1238,7755,5116,3199,3210,7225,5575
9459,7310,5553,6144,5618,4210,6385,4773,3351,7520,9274,6507,2415,3144,6800,9353,3335,8208,2517,1979
6641,8366,6214,5080,4872,1740,2958,3539,5699,6822,2206,7283,2079,4882,3550,9463,9508,6269,6668,5834
9793,7374,5019,5790,1284,7089,9992,9072,7186,7659,3422,5504,7796,5317,4129,6804,1706,9687,8327,4408
5386,3818,1395,6444,9681,7577,5955,8009,2026,1061,1321,3961,3492,2644,6774,5730,3541,7038,3338,9431
8789,7659,9425,7948,7269,5500,9335,7443,7558,8716,9108,9800,5158,4171,5243,7677,3622,7344,5124,6499
3335,8871,7081,6006,6626,4550,6150,1571,8926,6928,1561,2320,1900,3197,3673,2632,1991,8399,2676,4859
4824,3416,7504,3342,5221,4125,5778,5483,5281,2537,7597,3320,8887,4727,7491,3628,1888,9841,5271,7916
2164,7454,6858,8441,5261,6675,5660,1770,6439,5289,3299,2694,6539,3078,6823,1430,6643,8531,8830,5523
6928,2762,5411,7012,6943,2569,4416,1521,6186,1023,9493,3377,6242,5130,5369,8660,3890,1403,7365,7734
2007,9903,3056,8433,6188,1210,3117,2365,6754,6514,8345,4631,5309,9229,8232,3484,6849,3688,7247,3704
2843,4030,3532,2127,1796,5313,8153,1670,7096,1624,3840,7311,9133,7092,7720,4624,8623,3224,4422,9175
5976,8485,3335,4748,3477,9800,2921,4179,1331,1081,4234,2884,5992,5321,4160,9329,2719,7366,4279,3171
5611,5733,4961,6953,2612,1094,8727,6023,4456,8589,3494,4879,7016,3674,8229,9934,3579,4598,8322,8981
4129,8480,9149,3610,1997,9011,3141,9755,6870,8014,3934,2999,9975,4689,8195,4729,5777,4550,5624,8369
5434,9915,3033,3033,2199,2819,8958,4353,7573,3955,4536,2959,4165,8184,5925,3487,2958,5851,4199,9706
5069,2773,7426,7246,1271,5357,2300,8026,5647,5899,5104,7212,2642,8456,2867,4657,2928,8268,2975
